ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
275,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Warum sollen naturschutzfachlich wertvolle Wiesen erst nach dem 15. Juli gemäht werden?,Die Heuqualität ist dann besser für eine tierische Verwertung in der Landwirtschaft,Bodenbrütergelege werden geschont und Obergräser können aussamen,Der Gehölzaufwuchs wird besser unterdrückt,2
277,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie wirken sich überhöhte Wiederkäuerbestände auf die Natur aus?,Gar nicht,Eher unbedeutend,Diese können zum Verlust einzelner Pflanzenarten in bestimmten Gebieten führen,3
281,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher naturnahe Wald bietet die höchste Artenvielfalt?,Auwald,Buchenwald,Kiefernwald,1
282,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Durch welche Ursache verenden Flugtiere im Bereich großer Windkraftanlagen?,Stromschläge,durch fehlende akustische Warnsignale,innere und äußere Körperschäden,3
283,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was ist eine Ruderalfläche?,Eine vorwiegend landwirtschaftlich bestellte Fläche,"Ein Rohboden, der sich von der Umgebung mittels Nährstoffgehalt und Vegetation abgrenzt (z.B.: ehemalige Schuttfläche)",Eine verlandete Fläche am Gewässer,2
284,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Warum musste ein drastischer Rückgang der Artendichte und vielfalt im Offenland im 20. Jahrhundert verzeichnet werden?,Beutegreiferpopulationen von Fuchs und Dachs nahmen stark zu.,Durch neue Krankheitsbilder.,Ein radikaler Umbau der vormals eher kleinbäuerlich geprägten Landschaft.,3
286,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wovon können sich Pflanzen nicht ernähren?,Ozon,Tiere,Kohlendioxid,1
287,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Funktion sollen nicht bewirtschaftete Randstreifen entlang von Hecken und Gewässern erfüllen?,Nährstoff-und Pflanzenschutzmitteleinträge verhindern.,Spaziergängern neue Wanderwege bieten.,Den Landwirten zum Befahren mit ihren Maschinen dienen.,1
288,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Vor welchem Zeitpunkt sollten extensiv genutzte Wiesen wegen des Schutzes der Bodenbrüter nicht gemäht werden?,15. Mai,15. Jun,15. Jul,3
291,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche der nachgenannten Wildarten verursachen Wildschäden, die nach dem Bundesjagdgesetz zu ersetzen sind?","Schalenwild, Fasan, Kaninchen","Raubwild, Graugans, Taube","alles Haarwild, Fuchs, Waschbär",1
304,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wo sucht das Schwarzwild vorwiegend nach tierischem Eiweiß und Pflanzenwurzeln?,In Silomais,In Wiesen,In Raps,2
305,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche der nachgenannten Maßnahmen hat den größten Einfluss darauf, Schwarzwildschäden in Maisfeldern zu verringern?",Anlage von Kirrungen im Wald,Verstärkte Bejagung in den großen Waldkomplexen (Einstandsgebieten) von Juli bis Oktober,"Optimierung der Bejagungsflächen durch Anlage von Grünstreifen, Wasserquellen, Malbäumen und Suhlen",3
306,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche der nachgenannten einheimischen Schalenwildarten schält nicht?,Rotwild,Schwarzwild,Damwild,2
307,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Zu welchen der nachgenannten Folgen kann der Verbiss von Schalenwild an der Naturverjüngung führen?,Förderung der Schattbaumarten,Zuwachssteigerung,Entmischung,3
308,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche der nachgenannten Maßnahme eignet sich, Fegeschäden durch Rehböcke zu minimieren?",Angepasste Wilddichten durch konsequente Bejagung,Ausbringung von Lockstoffen weitab von den gefährdeten Kulturen,Anpflanzung einer zertifizierten Fegestelle zur Ablenkung,1
309,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welches ist der wirtschaftlich bedeutsamste Sekundärschaden, der durch das Schälen des Rotwildes in Fichtenbeständen entstehen kann?",Rotfäule mit Holzentwertung und Bruchgefahr,"Hallimasch, der zum Absterben des geschälten Baumes führt",Baumtrocknis,1
310,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wodurch entstehen die hauptsächlichen Wildschäden durch Rehwild im Wald?,Durch Verbiss,Durch Plätzen,Durch Schlagen und Fegen der feinrindigen Forstpflanzen bis zum Alter von 10 Jahren,1
312,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Ist ein Landwirtschaftsbetrieb grundsätzlich zur Mitwirkung bei der Vermeidung von Wildschäden verpflichtet?,Ja,Nein,"Nein, nur bei erntereifen Kulturen",1
313,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Ab welcher Baumhöhe kann aus Verbissschutzgründen auf die Zäunung junger Forstkulturen verzichtet werden?,1 m,"0,3 m",Wenn alle Terminalknospen der zu verjüngenden Baumarten für den Äser nicht mehr erreichbar sind,3
314,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie kann frische Sommer- von frischer Winterschäle unterschieden werden?,Gar nicht,Sommerschäle anhand sichtbarer Zahnspuren am Stamm,Winterschäle anhand sichtbarer Zahnspuren am Stamm,3
316,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Wie kann der Jagdausübungsberechtigte zur Vermeidung von Wildschäden im Wald an einer 2,5 ha großen Naturverjüngung am besten beitragen?",Abwarten und wegschauen,Die Fläche intensiv bejagen,Einen Wildacker an dieser Fläche anlegen,2
317,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart verursacht Rammschäden?,Mufflon,Wildschwein,Rehwild,1
318,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wozu dient ein forstlicher Grüneinband?,Zur Tarnung der Jagdeinrichtung mit örtlichen Materialien,Geflochtener Zaun aus Weiden zur Abgrenzung besonders geschützter Biotope,Die Ummantelung schälgefährdeter Stämme mit grünen Zweigen und Ästen,3
322,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wozu dient ein forstliches Weisergatter?,Zur Auskunft über den Wildeinfluss auf die Vegetation,Zur Wildzählung,Zur Fütterung des Wildes in Notzeiten,1
325,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wozu dient das forstliche Rindenkratzen?,Für die erwerbsmäßige Harzgewinnung,Zum Markieren von Wanderwegen an Bäumen,Zur Verhinderung ganzjähriger Schäle,3
326,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Ist der übermäßige Verbiss von Seitentrieben an jungen Bäumen relevant für die Forstschadenermittlung?,"Nein, ausschlaggebend ist der Terminaltriebverbiss",Ja,"Ja, nur bei Edellaubholz",1
327,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bis zu welchem Alter kann in der Regel bei der Rotbuche von einer Schälgefährdung ausgegangen werden?,20 Jahre,40 Jahre,60 Jahre,3
328,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bis zu welchem Alter kann in der Regel bei der Fichte von einer Schälgefährdung ausgegangen werden?,30 Jahre,40 Jahre,60 Jahre,1
329,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welches Wildschadensverhütungsverfahren eignet sich nicht im Wald?,Mechanische Verfahren,Chemische Verfahren,Attrappenverfahren,3
334,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche landwirtschaftliche Nutzpflanze ist durch Schwarzwild am meisten gefährdet?,Luzerne,Kartoffel,Hopfen,2
335,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Wieviel Quadratmeter sind 0,02 ha?",200,2000,20,1
338,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Für das Schätzen von Wildschäden im Wald bestimmt die untere Jagdbehörde, einen",Wildschadensschätzer,Forstsachverständigen,Kreisjägermeister,2
339,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welcher Wildschaden in der Landwirtschaft erfordert eine Bodenbearbeitung zu dessen Regulierung?,Schaden infolge Brechen,Schälschaden,Fegeschaden,1
340,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bei welcher Haarwildart fehlen im Oberkiefer die Schneidezähne?,Feldhase,Schwarzwild,Rehwild,3
341,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Für welche Wildart sind Suhlen ein wichtiger Bestandteil des Lebensraums?,Rotwild,Damwild,Dachs,1
342,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche in Deutschland vorkommende Tierart lebt in Kolonien?,Kaninchen,Hasen,Fischotter,1
349,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart ist kein Hochwild?,Muffelwild,Rehwild,Auerwild,2
477,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Wie alt muss ein Rothirsch mindestens sein, um zur Klasse I zu gehören?",4 Jahre,10 Jahre,7 Jahre,2
478,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Der jährliche Zuwachs beim Schwarzwild unterliegt starken Schwankungen. Welche der nachgenannten Einflussfaktoren wirkt sich zuwachsmindernd aus?,Schneereiche und lange Winter,Trockenes Frühjahr,Heiße Sommer,1
480,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wie hoch sollte der Streckenanteil an Frischlingen beim Schwarzwild sein?,Ca. 30 %,Ca. 50 %,Ca. 70 %,3
483,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Maßnahme ist zur Reduzierung von Schwarzwildschäden geeignet und erlaubt?,Intensive Bejagung der führenden Elterntiere,Intensive Bejagung an Wildfütterungen,Intensive Bejagung an Wildschadensflächen,3
498,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Lautäußerungen,von Rehwild vernimmt man nur nachts.,"vom Rehwild werden z.B. ""Schrecken"" genannt.",kennt man beim Rotwild nur bei der Brunft.,2
499,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Welche Tierart ""schreckt"" vor allem bei Störungen im Einstand?",Schwarzwild,Fuchs,Rehwild,3
500,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Kreuzungen sind bekannt zwischen,Wildschwein und Hausschwein,Rehwild und Damwild,Baum-und Steinmarder,1
501,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Haarwildart wird blind geboren?,Kaninchen,Hasen,Rehe,1
502,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Rotwild und Rehwild unterscheiden sich in ihrem Äsungsverhalten. Welche der folgenden Aussagen sind richtig?,Rehwild äst überwiegend wählerisch.,Rehwild äst wenig wählerisch.,Rotwild äst wählerisch.,1
503,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bei welchen Wildtieren kann das Alter der erlegten männlichen Stücke am Kopfschmuck wesentlich besser festgestellt werden als an der Zahnabnutzung?,Rothirsch,Damhirsch,Muffelwidder,3
504,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",In welcher Zeit fegen Rot-und Damhirsche?,Im März und April.,Im Mai und Juni.,Zwischen Juli und September.,3
505,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bei welcher Schalenwildart ist der mögliche jährliche Wildbestandszuwachs am größten?,Rotwild,Rehwild,Schwarzwild,3
506,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Unsere heimischen Geweihträger werfen zu unterschiedlichen Zeiten ab. Ausgewachsene,Rothirsche etwa im Februar / März,Damhirsche etwa im Januar / Februar,Echthirsche grundsätzlich im Sommer,1
507,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Wildart gehört zur Familie der Cerviden (Geweihträger)?,Rotwild,Steinwild,Gamswild,1
508,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Der Kopfschmuck der Cerviden (Geweihträger),ist in der Wachstumsphase nicht mit Bast überzogen,wird jährlich abgeworfen,"wird nicht abgeworfen, dadurch gewinnt er an Masse und Stärke",2
509,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Aussagen sind richtig? Die Anzahl der jährlichen Nachkommen beträgt,beim Rotwild meistens ein Kalb.,beim Schwarzwild nie mehr als zwei bis vier Frischlinge.,beim Fuchs immer mehr als 10 Welpen je Wurf.,1
510,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Bei welcher Wildart werden die Jungen in einer Anhäufung von trockenem Gras, Kraut und Zweigen geboren?",Muffelwild,Rotwild,Schwarzwild,3
511,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Monate bezeichnet man beim Rotwild als Feistzeit?,"Mai, Juni","Juli, August","September, Oktober",2
512,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wer hat in einem intakten Rotwildrudel die Führung?,Ein nicht führendes Alttier,Ein mittelalter Hirsch,Ein führendes Alttier,3
513,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Witterung ist für eine lebhafte Hirschbrunft am günstigsten?,Warm bei bedecktem Himmel,dichter Nebel,Kalt bei klarem Himmel,3
539,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Die Anwesenheit von Rehböcken im Monat Juni wird angezeigt durch ...,Hexenringe und häufiges Schrecken,Plätz- und Fegestellen,frische Sommerschäle,2
543,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","An welchem Körpermerkmal können Sie im Juli bei einem allein äsenden Rottier zweifelsfrei erkennen, ob es sich um ein führendes Alttier oder um ein Schmaltier handelt?",Am Haarkleid,Am Wedel,Am Gesäuge,3
545,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Bei welcher der nachgenannten Federwildart kann Ende Oktober bei Tageslicht das männliche vom weiblichen Tier unterschieden werden, wenn es in Schussentfernung vorbeistreicht?",Graugans,Waldschnepfe,Stockente,3
546,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",An welchem Merkmal lässt sich der Rehbock im Dezember sicher von der Ricke unterscheiden?,Am Verhalten,An der Körpergröße,Am Kurzwildbret,3
573,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",In welcher Jahreszeit hat das Raubwild den wertvollsten Balg?,im Winter,im Frühjahr,im Sommer,1
577,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Aus Gründen der besseren Ernährung/ Energieersparnis,vergrößert Rotwild im Winter seinen Einstand.,reduziert Rotwild im Winter seine Bewegungsaktivität.,nimmt Rotwild im Winter fast nur fettreiche Äsung auf.,2
578,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche Aussagen zum Rotwild sind richtig?,Zwischen männlichen und weiblichen Tieren besteht kein Größenunterschied.,Das Rotwild lebt monogam.,"Die Tiere setzen ein, selten zwei Kälber.",3
580,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Welche typischen Verhalten zeigt der Damhirsch während der Brunft?,Er wird nachtaktiv.,"Er schlägt eine Brunftkuhle, nässt hinein und tut sich nieder.",Er suhlt besonders oft.,2
581,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Ab welchem Monat haben die meisten Schmalrehe ihre voll verfärbte Sommerdecke?,ab Mai,ab Juni,ab Juli,1
582,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wann wirft ein mehrjähriger Rehbock in der Regel sein Gehörn ab?,Januar / Februar,März / April,Oktober / November,3
583,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Was bewirkt der Rehbock durch das Fegen?,Das Entfernen unliebsamer Gehölze.,Das Anspitzen seiner Gehörnenden.,Das Entfernen des Bastes vom Gehörn.,3
584,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Fegen Rehböcke auch noch nach dem Abstreifen der Basthaut?,"Ja, zur Markierung ihres Territoriums.","Nein, nach dem Abstreifen der Basthaut wird nicht mehr gefegt.","Ja, um Ektoparasiten zu entfernen.",1
585,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Das Wachstum des Gehörns eines zweijährigen Rehbocks fällt größtenteils in,die äsungsreiche Frühjahrszeit.,die äsungsarme Winterzeit.,die Zeit zwischen Mai und Juli.,2
586,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wann beendet das Rehwild seinen Zahnwechsel?,In einem Alter von 9 Monaten,In einem Alter von 14 Monaten,In einem Alter von 24 Monaten,2
587,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",In welchen Monaten werden Rehkitze hauptsächlich gesetzt?,März -April,Juli -August,Mai -Juni,3
588,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wann beginnt in der Regel die Entwicklung des Embryo im Reh?,im Monat August,nach der Keimruhe,direkt nach dem Beschlagen der Ricke,2
589,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Woran erkennt man im Revier das Vorkommen von Rehwild?,Fährten,Mahlbäume,Suhlen,1
590,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Lassen sich Rehbock und Ricke im Sommer am Spiegel unterscheiden?,"Ja, der Spiegel des Bockes ist herzförmig.","Ja, der Spiegel der Ricke ist nierenförmig.","Nein, der Spiegel hebt sich vom restlichen Haarkleid weniger farblich ab.",3
591,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Sie sehen Ende Dezember einen Sprung Rehe. Woran können Sie eindeutig die weiblichen Stücke erkennen?,Am Gesäuge,An der Schürze,An der Färbung,2
592,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",An welchem Merkmal lässt sich der Rehbock im Dezember sicher von der Ricke unterscheiden?,An der Stimme,An der Körpergröße,Am Pinsel,3
593,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Woran lässt sich in der Regel im Juni bei einem weiblichen Stück Rehwild zweifelsfrei erkennen, ob es sich um eine führende Ricke handelt?",Am Haarwechsel.,Am Haupt.,Am Gesäuge.,3
594,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Rehe,kommen in großen Waldgebieten in Notgemeinschaften von 40 -50 Stück vor.,"haben eine so genannte ""Eiruhe"" bis Ende September.",gehören bei ihrem Äsungsverhalten zu den Konzentratselektierern.,3
595,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Bei einem in der Decke am 1. Mai vollständig verfärbten Rehbock handelt es sich um,ein krankes Stück.,einen mehrjährigen Bock.,einen Jährlingsbock.,3
596,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Wodurch lassen sich im Juni Rehböcke sicher bestätigen?,Hexenringe,Suhlen,Fegestellen,3
597,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung","Vom Rehwild weiß man, dass",die Ricke nur wenige Tage brunftig ist.,die Kitze im Spätherbst täglich weniger an Gewicht zunehmen als im Winter.,Kitze erst am dritten oder vierten Tag nach der Geburt auf eigenen Läufen stehen können.,1
598,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Eine exakte Bestandsermittlung von Rehwild in Waldrevieren ist,durch Zählung nicht möglich.,anhand der letzten Abschüsse möglich.,nur im Frühjahr möglich.,1
599,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Den im Mai erlegten Jährlingsbock erkennt man am sichersten am,dreiteiligen 3. Prämolar.,zweigeteilten Molar des Unterkiefers.,Spießergehörn.,1
600,"Wildarten, Wildschutz, Landnutzung, Schadensverhütung",Muffelwild,bewohnt fast alle Mittelgebirge Deutschlands.,lebt hauptsächlich nachtaktiv.,"brunftet von Oktober bis November, zum Teil noch im Dezember.",3
